"Date.start","Days.after.feeding","Bacteria","CFU","Individual","Dead","Offspring","corr.Offspring","hours.pi","bud","cells.suspension"
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1B6",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1C1",0,0,0,0,1,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1C2",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1C3",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1C4",0,0,0,0,1,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1C5",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1C6",0,0,0,0,1,1
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1D1",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1D2",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1D3",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1D4",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1D5",0,0,0,0,1,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-1D6",0,0,0,0,1,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2A1",0,0,0,0,1,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2A2",0,1,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2A3",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2A4",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2A5",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2A6",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2B1",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2B2",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2B3",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2B4",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2B5",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2B6",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2C1",0,0,0,0,1,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2C2",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2C3",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2C4",0,0,0,0,0,0
"2024-06-24",4,"Pmegaterium",1e+05,"2024-06-24-1e+05-2C5",0,0,0,0,0,0
